ZSCAN12	ZSCAN12
ZNF24	ZSCAN12
VPS26A	ZSCAN12
VLDLR	ZSCAN12
TGM1	ZSCAN12
SRPK2	ZSCAN12
SP2	ZSCAN12
PGK2	ZSCAN12
ME1	ZSCAN12
LORICRIN	ZSCAN12
LMNA	ZSCAN12
IVL	ZSCAN12
HAL	ZSCAN12
GABPA	ZSCAN12
FLG	ZSCAN12
EVPL	ZSCAN12
ECM1	ZSCAN12
CTSV	ZSCAN12
CST6	ZSCAN12
CPM	ZSCAN12
CALML3	ZSCAN12
ASAH1	ZSCAN12
ALOX12B	ZSCAN12
ZSCAN25	ZSCAN1
ZSCAN18	ZSCAN1
ZSCAN1	ZSCAN1
ZNF496	ZSCAN1
ZNF407	ZSCAN1
ZNF396	ZSCAN1
ZNF263	ZSCAN1
ZNF24	ZSCAN1
ZNF213	ZSCAN1
ZNF174	ZSCAN1
ZKSCAN5	ZSCAN1
TTF2	ZSCAN1
TRIM31	ZSCAN1
TIMELESS	ZSCAN1
TBX20	ZSCAN1
TAF7	ZSCAN1
SSX5	ZSCAN1
SSX3	ZSCAN1
SNW1	ZSCAN1
SH2D2A	ZSCAN1
RFC1	ZSCAN1
PRMT8	ZSCAN1
PPL	ZSCAN1
PPARG	ZSCAN1
POLR2E	ZSCAN1
POLR2D	ZSCAN1
POLR2B	ZSCAN1
PLRG1	ZSCAN1
PGBD1	ZSCAN1
NPAS2	ZSCAN1
NFYC	ZSCAN1
MZF1	ZSCAN1
MED7	ZSCAN1
MED31	ZSCAN1
MED21	ZSCAN1
INSM2	ZSCAN1
HOPX	ZSCAN1
GTF2H1	ZSCAN1
GTF2E1	ZSCAN1
GOPC	ZSCAN1
GOLGA3	ZSCAN1
FXR2	ZSCAN1
ERCC3	ZSCAN1
DISC1	ZSCAN1
CNOT6L	ZSCAN1
CDC5L	ZSCAN1
ATXN1	ZSCAN1
ASH2L	ZSCAN1
APP	ZSCAN1
ANKRD55	ZSCAN1
MFAP1	ZRSR2P1
ZRSR2P1	ZRSR2
ZRSR2	ZRSR2
SRSF5	ZRSR2
SRSF1	ZRSR2
SRPK2	ZRSR2
SRPK1	ZRSR2
SNRPN	ZRSR2
SNRPG	ZRSR2
SNRPF	ZRSR2
SNRPE	ZRSR2
SERPINB8	ZRSR2
RPL5	ZRSR2
NKTR	ZRSR2
HAL	ZRSR2
DVL3	ZRSR2
CLK2	ZRSR2
CDK11B	ZRSR2
C1QBP	ZRSR2
ZRANB3	ZRANB3
PCNA	ZRANB3
PBX3	ZRANB3
NFYA	ZRANB3
LAMP3	ZRANB3
ISLR	ZRANB3
IMPDH1	ZRANB3
CREB1	ZRANB3
CD79B	ZRANB3
CAMK2D	ZRANB3
ZRANB2	ZRANB2
UCHL3	ZRANB2
UBE2V2	ZRANB2
UBE2B	ZRANB2
UBA52	ZRANB2
U2AF1	ZRANB2
TYMS	ZRANB2
TTC1	ZRANB2
TRA2B	ZRANB2
TOP1	ZRANB2
SULT1A1	ZRANB2
STAM	ZRANB2
SRSF7	ZRANB2
SRPK2	ZRANB2
SRPK1	ZRANB2
SNRNP70	ZRANB2
SERPINB5	ZRANB2
PSMA1	ZRANB2
PLD1	ZRANB2
PIP4K2B	ZRANB2
PIP4K2A	ZRANB2
PCMT1	ZRANB2
NFKBIL1	ZRANB2
MAP2K4	ZRANB2
GTF2E2	ZRANB2
EPB41L2	ZRANB2
CSNK2A2	ZRANB2
CSNK2A1	ZRANB2
ATP6V1F	ZRANB2
ARRB1	ZRANB2
AKT1	ZRANB2
AKAP17A	ZRANB2
ACTL6A	ZRANB2
ZNF629	ZRANB1
ZNF581	ZRANB1
ZNF17	ZRANB1
ZNF124	ZRANB1
ZBTB24	ZRANB1
XRCC5	ZRANB1
WT1	ZRANB1
VEZF1	ZRANB1
VAV3	ZRANB1
USP2	ZRANB1
UBC	ZRANB1
UBASH3A	ZRANB1
TSPYL4	ZRANB1
TRAPPC2B	ZRANB1
TRAPPC2	ZRANB1
TRAF6	ZRANB1
TRAF4	ZRANB1
TOLLIP	ZRANB1
TLE5	ZRANB1
TIE1	ZRANB1
TCEA2	ZRANB1
TBC1D30	ZRANB1
SYT17	ZRANB1
SUV39H1	ZRANB1
STRN4	ZRANB1
STRN3	ZRANB1
STRN	ZRANB1
STK19	ZRANB1
SLMAP	ZRANB1
SDCBP	ZRANB1
RNPS1	ZRANB1
RHOBTB3	ZRANB1
RAPGEF3	ZRANB1
QARS1	ZRANB1
PRPF31	ZRANB1
PRPF3	ZRANB1
PRPF18	ZRANB1
POLR1C	ZRANB1
POLL	ZRANB1
PKN1	ZRANB1
PHF19	ZRANB1
PHF1	ZRANB1
NUDT21	ZRANB1
NEK6	ZRANB1
MYEF2	ZRANB1
MPPED1	ZRANB1
MID2	ZRANB1
MFAP1	ZRANB1
METAP1	ZRANB1
MCRS1	ZRANB1
MAGOH	ZRANB1
MAGEB4	ZRANB1
KIFC3	ZRANB1
KANK2	ZRANB1
JRK	ZRANB1
IL16	ZRANB1
HOXC8	ZRANB1
HOXB5	ZRANB1
HECTD1	ZRANB1
GPKOW	ZRANB1
GPANK1	ZRANB1
GEM	ZRANB1
FBXW11	ZRANB1
FARS2	ZRANB1
FAM50B	ZRANB1
ERF	ZRANB1
EIF3D	ZRANB1
EHHADH	ZRANB1
DUSP13	ZRANB1
DTNB	ZRANB1
DDX6	ZRANB1
DCX	ZRANB1
CPNE7	ZRANB1
CNNM3	ZRANB1
CDKL3	ZRANB1
CDK18	ZRANB1
CDC5L	ZRANB1
CDC45	ZRANB1
CBX7	ZRANB1
BYSL	ZRANB1
BRD1	ZRANB1
BAHD1	ZRANB1
ARRDC2	ZRANB1
ARHGEF5	ZRANB1
APC	ZRANB1
AP1M1	ZRANB1
ANKRD11	ZRANB1
AKT1	ZRANB1
ZYX	ZPR1
UBE2V2	ZPR1
UBE2L3	ZPR1
UBE2D2	ZPR1
UBE2D1	ZPR1
UBE2A	ZPR1
UBC	ZPR1
TJP1	ZPR1
THOC5	ZPR1
SULT1A1	ZPR1
STAM	ZPR1
MPP3	ZPR1
IKBKG	ZPR1
FKBP1A	ZPR1
EGFR	ZPR1
EEF1A1	ZPR1
CDC123	ZPR1
ATP6V1B2	ZPR1
TMX1	ZPLD1
SLX9	ZPLD1
SDF2L1	ZPLD1
RTN4	ZPLD1
RARG	ZPLD1
GNPTG	ZPLD1
GNPTAB	ZPLD1
CEACAM8	ZPLD1
CARMIL1	ZPLD1
ZNF146	ZPBP2
SEL1L	ZPBP2
PROS1	ZPBP2
PPP1R1A	ZPBP2
OS9	ZPBP2
NPTX1	ZPBP2
NFKB1	ZPBP2
MEF2C	ZPBP2
MEF2A	ZPBP2
IL17RA	ZPBP2
FSTL1	ZPBP2
CALU	ZPBP
ZP4	ZP4
TPI1	ZP4
PKM	ZP4
GSTM3	ZP4
GPX4	ZP4
GAPDHS	ZP4
ENO1	ZP4
ALDOA	ZP4
ACR	ZP4
ZP3	ZP3
TPI1	ZP3
PKM	ZP3
GSTM3	ZP3
GPX4	ZP3
ENO1	ZP3
CLDN11	ZP3
ACR	ZP3
ZP2	ZP2
SRC	ZP2
PLCG1	ZP2
PKM	ZP2
GPX4	ZP2
ENO1	ZP2
ACR	ZP2
ZDHHC9	ZNRF4
ZDHHC18	ZNRF4
YIF1A	ZNRF4
VRK2	ZNRF4
VANGL2	ZNRF4
USP33	ZNRF4
UPK2	ZNRF4
UBE2W	ZNRF4
UBE2N	ZNRF4
UBE2G2	ZNRF4
UBE2E3	ZNRF4
UBE2E1	ZNRF4
UBE2D4	ZNRF4
UBE2D3	ZNRF4
UBE2D2	ZNRF4
UBE2D1	ZNRF4
UBA52	ZNRF4
TYW1	ZNRF4
TMX2	ZNRF4
TMEM68	ZNRF4
TMEM39A	ZNRF4
SUN2	ZNRF4
SUN1	ZNRF4
ST7L	ZNRF4
ST7	ZNRF4
SREBF2	ZNRF4
SQLE	ZNRF4
SNX14	ZNRF4
SMPD2	ZNRF4
SLC27A6	ZNRF4
SLC27A3	ZNRF4
SLC12A7	ZNRF4
SLC12A6	ZNRF4
SGPL1	ZNRF4
SCAP	ZNRF4
SAMD1	ZNRF4
PTPRU	ZNRF4
PPP1R15B	ZNRF4
POM121	ZNRF4
PNPLA6	ZNRF4
PIGA	ZNRF4
PDZD8	ZNRF4
PDE3B	ZNRF4
OSBPL8	ZNRF4
OSBP	ZNRF4
NUS1	ZNRF4
NT5E	ZNRF4
NETO2	ZNRF4
NDC1	ZNRF4
MTARC1	ZNRF4
LRP12	ZNRF4
LEMD3	ZNRF4
